CRN,SUBJ,CRSE,TITLE,CR HRS,TIME,DAYS,INSTRUCTOR
13798,CS,300T,COMPUTERS IN SOCIETY,3,HOURS ARR,,fac237
16743,CS,300T,COMPUTERS IN SOCIETY,3,HOURS ARR,,fac238
16744,CS,300T,COMPUTERS IN SOCIETY,3,HOURS ARR,,fac239
16745,CS,300T,COMPUTERS IN SOCIETY,3,HOURS ARR,,fac240
17670,CS,300T,COMPUTERS IN SOCIETY,3,HOURS ARR,,fac241
17671,CS,300T,COMPUTERS IN SOCIETY,3,HOURS ARR,,fac242
17672,CS,300T,COMPUTERS IN SOCIETY,3,HOURS ARR,,fac243
24857,CS,300T,COMPUTERS IN SOCIETY,3,HOURS ARR,,fac244
16490,CS,312,INTERNET CONCEPTS,3,1100-1215PM,TR,fac245
16491,CS,312,INTERNET CONCEPTS,3,1100-1215PM,TR,fac246
16492,CS,312,INTERNET CONCEPTS,3,1100-1215PM,TR,fac247
16493,CS,312,INTERNET CONCEPTS,3,1100-1215PM,TR,fac248
16494,CS,312,INTERNET CONCEPTS,3,1100-1215PM,TR,fac249
16786,CS,312,INTERNET CONCEPTS,3,1100-1215PM,TR,fac250
13809,CS,330,OBJECT ORIENT PROGRAM/DESIGN,3,HOURS ARR,,fac251
13810,CS,330,OBJECT ORIENT PROGRAM/DESIGN,3,HOURS ARR,,fac252
13811,CS,330,OBJECT ORIENT PROGRAM/DESIGN,3,HOURS ARR,,fac253
16388,CS,330,OBJECT ORIENT PROGRAM/DESIGN,3,1100-1215PM,TR,fac254
16791,CS,330,OBJECT ORIENT PROGRAM/DESIGN,3,HOURS ARR,,fac255
20654,CS,330,OBJECT ORIENT PROGRAM/DESIGN,3,HOURS ARR,,fac256
20655,CS,330,OBJECT ORIENT PROGRAM/DESIGN,3,HOURS ARR,,fac257
20656,CS,330,OBJECT ORIENT PROGRAM/DESIGN,3,HOURS ARR,,fac258
15408,CS,334,COMPUTER ARCHITECTURE FNDMNTLS,4, 100- 215PM,F,fac259
15409,CS,334,COMPUTER ARCHITECTURE FNDMNTLS,4, 100- 215PM,F,fac260
15410,CS,334,COMPUTER ARCHITECTURE FNDMNTLS,4, 100- 215PM,F,fac261
16794,CS,334,COMPUTER ARCHITECTURE FNDMNTLS,4, 100- 215PM,F,fac262
14084,CS,350,INTRO TO SOFTWARE ENGINEERING,3, 200- 250PM,MWF,fac263
15803,CS,350,INTRO TO SOFTWARE ENGINEERING,3,HOURS ARR,,fac264
15804,CS,350,INTRO TO SOFTWARE ENGINEERING,3,HOURS ARR,,fac265
15805,CS,350,INTRO TO SOFTWARE ENGINEERING,3,HOURS ARR,,fac266
15806,CS,350,INTR TO SOFTWARE ENGINEER REC,0, 300- 500PM,W,fac267
15807,CS,350,INTR TO SOFTWARE ENGINEER REC,0, 300- 500PM,W,fac268
15808,CS,350,INTR TO SOFTWARE ENGINEER REC,0, 300- 500PM,W,fac269
15809,CS,350,INTR TO SOFTWARE ENGINEER REC,0, 710- 910PM,W,fac270
15810,CS,350,INTR TO SOFTWARE ENGINEER REC,0, 710- 910PM,W,fac271
15811,CS,350,INTR TO SOFTWARE ENGINEER REC,0, 710- 910PM,W,fac272
16795,CS,350,INTRO TO SOFTWARE ENGINEERING,3,HOURS ARR,,fac273
16798,CS,350,INTR TO SOFTWARE ENGINEER REC,0, 300- 500PM,W,fac274
16803,CS,350,INTR TO SOFTWARE ENGINEER REC,0, 710- 910PM,W,fac275
17931,CS,350,INTR TO SOFTWARE ENGINEER REC,0, 710- 910PM,T,fac276
17932,CS,350,INTRO TO SOFTWARE ENGINEERING,0, 300- 500PM,T,fac277
23586,CS,350,INTRO TO SOFTWARE ENGINEERING,3, 200- 250PM,MWF,fac278
23587,CS,350,INTR TO SOFTWARE ENGINEER REC,0, 710- 910PM,T,fac279
23588,CS,350,INTRO TO SOFTWARE ENGINEERING,0, 300- 500PM,T,fac280
11917,CS,355,PRINCIP-PROGRAMMING LANGUAGES,3,1200-1250PM,MWF,fac281
21466,CS,355,PRINCIP-PROGRAMMING LANGUAGES,3, 930-1045AM,MW,fac282
21469,CS,355,PRINCIP-PROGRAMMING LANGUAGES,3, 930-1045AM,MW,fac283
21474,CS,355,PRINCIP-PROGRAMMING LANGUAGES,3, 930-1045AM,MW,fac284
21476,CS,355,PRINCIP-PROGRAMMING LANGUAGES,3, 930-1045AM,MW,fac285
23744,CS,355,PRINCIP-PROGRAMMING LANGUAGES,3,1200-1250PM,MWF,fac286
10355,CS,361,DATA STRUCTURES/ALGORITHMS,3, 100- 150PM,MWF,fac287
16003,CS,361,DATA STRUCTURES/ALGORITHMS,3,HOURS ARR,,fac288
16004,CS,361,DATA STRUCTURES/ALGORITHMS,3,HOURS ARR,,fac289
16005,CS,361,DATA STRUCTURES/ALGORITHMS,3,HOURS ARR,,fac290
16804,CS,361,DATA STRUCTURES/ALGORITHMS,3,HOURS ARR,,fac291
