CRN,SUBJ,CRSE,TITLE,CR HRS,TIME,DAYS,INSTRUCTOR
21520,CS,250,PROB SOL & PROG II LAB,0, 710- 950PM,R,"ZEIL,S"
21531,CS,250,PROB SOL & PROGR II LAB,0, 710- 950PM,R,"ZEIL,S"
21532,CS,250,PROBLEM SOLVING & PRGMG II LAB,0, 710- 950PM,R,"ZEIL,S"
21533,CS,250,PROB SOL & PROG II LAB,0, 710- 950PM,R,"ZEIL,S"
21534,CS,250,PROBLEM SOLVING & PRGMG II REC,0, 710- 800PM,W,"ZEIL,S"
21535,CS,250,PROBLEM SOLVING & PRGMG II REC,0, 710- 800PM,W,"ZEIL,S"
21536,CS,250,PROBLEM SOLVING & PRGMG II REC,0, 710- 800PM,W,"ZEIL,S"
21537,CS,250,PROBLEM SOLVING & PRGMG II REC,0, 710- 800PM,W,"ZEIL,S"
21538,CS,250,PROB SOL & PROG II LAB,0, 200- 430PM,F,"ZEIL,S"
21539,CS,250,PROB SOL & PROG II LAB,0, 200- 430PM,F,"ZEIL,S"
21540,CS,250,PROBLEM SOLVING & PRGMG II LAB,0, 200- 430PM,F,"ZEIL,S"
21541,CS,250,PROB SOL & PROG II LAB,0, 200- 430PM,F,"ZEIL,S"
23731,CS,250,PROBLEM SOLVING & PROGRMNG II,4, 800- 915AM,TR,"ZEIL,S"
23734,CS,250,PROBLEM SOLVNG & PRGMNG II LAB,0, 130- 410PM,T,"ZEIL,S"
23735,CS,250,PROB SOLVING & PROGRMNG II REC,0, 545- 635PM,M,"ZEIL,S"
23736,CS,250,PROBLEM SOLVNG & PRGMNG II LAB,0, 420- 650PM,T,"ZEIL,S"
23737,CS,250,PROB SOLVING & PROGRMNG II REC,0,1200-1250PM,M,"ZEIL,S"
23738,CS,250,PROBLEM SOLVNG & PRGMNG II LAB,0, 130- 410PM,R,"ZEIL,S"
23739,CS,250,PROBLEM SOLVING & PROGRMNG II,4, 930-1200PM,S,"ZEIL,S"
23740,CS,250,PROBLEM SOLVNG & PRGMNG II LAB,0, 100- 330PM,S,"ZEIL,S"
23741,CS,250,PROB SOLVING & PROGRMNG II REC,0, 345- 435PM,S,"ZEIL,S"
24385,CS,250,PROBLEM SOLVNG & PRGMNG II LAB,0, 420- 650PM,R,"ZEIL,S"
24386,CS,250,PROB SOLVING & PROGRMNG II REC,0, 440- 530PM,M,"ZEIL,S"
24812,CS,250,PROBLEM SOLVNG & PRGMNG II LAB,0, 420- 650PM,T,"ZEIL,S"
24813,CS,250,PROBLEM SOLVNG & PRGMNG II LAB,0, 420- 650PM,T,"ZEIL,S"
13785,CS,252,INTRO TO UNIX FOR PROGRAMMERS,1,HOURS ARR,,"ZEIL,S"
13786,CS,252,INTRO TO UNIX FOR PROGRAMMERS,1,HOURS ARR,,"ZEIL,S"
13787,CS,252,INTRO TO UNIX FOR PROGRAMMERS,1,HOURS ARR,,"ZEIL,S"
16781,CS,252,INTRO TO UNIX FOR PROGRAMMERS,1,HOURS ARR,,"ZEIL,S"
11400,CS,270,INTRO COMPUTER ARCHITECTURE II,3, 900- 950AM,MWF,"ZEIL,S"
23742,CS,270,INTRO COMPUTER ARCHITECTURE II,3, 900- 950AM,MWF,"ZEIL,S"
13788,CS,300T,COMPUTERS IN SOCIETY,3,HOURS ARR,,"ZEIL,S"
13789,CS,300T,COMPUTERS IN SOCIETY,3,HOURS ARR,,"ZEIL,S"
13790,CS,300T,COMPUTERS IN SOCIETY,3,HOURS ARR,,"ZEIL,S"
13791,CS,300T,COMPUTERS IN SOCIETY,3,HOURS ARR,,"ZEIL,S"
13792,CS,300T,COMPUTERS IN SOCIETY,3,HOURS ARR,,"ZEIL,S"
13793,CS,300T,COMPUTERS IN SOCIETY,3,HOURS ARR,,"ZEIL,S"
13794,CS,300T,COMPUTERS IN SOCIETY,3,HOURS ARR,,"ZEIL,S"
13796,CS,300T,COMPUTERS IN SOCIETY,3,HOURS ARR,,"ZEIL,S"
13797,CS,300T,COMPUTERS IN SOCIETY,3,HOURS ARR,,"ZEIL,S"
13798,CS,300T,COMPUTERS IN SOCIETY,3,HOURS ARR,,"ZEIL,S"
16743,CS,300T,COMPUTERS IN SOCIETY,3,HOURS ARR,,"ZEIL,S"
16744,CS,300T,COMPUTERS IN SOCIETY,3,HOURS ARR,,"ZEIL,S"
16745,CS,300T,COMPUTERS IN SOCIETY,3,HOURS ARR,,"ZEIL,S"
17670,CS,300T,COMPUTERS IN SOCIETY,3,HOURS ARR,,"ZEIL,S"
17671,CS,300T,COMPUTERS IN SOCIETY,3,HOURS ARR,,"ZEIL,S"
17672,CS,300T,COMPUTERS IN SOCIETY,3,HOURS ARR,,"ZEIL,S"
24857,CS,300T,COMPUTERS IN SOCIETY,3,HOURS ARR,,"ZEIL,S"
16490,CS,312,INTERNET CONCEPTS,3,1100-1215PM,TR,"ZEIL,S"
16491,CS,312,INTERNET CONCEPTS,3,1100-1215PM,TR,"ZEIL,S"
16492,CS,312,INTERNET CONCEPTS,3,1100-1215PM,TR,"ZEIL,S"
16493,CS,312,INTERNET CONCEPTS,3,1100-1215PM,TR,"ZEIL,S"
16494,CS,312,INTERNET CONCEPTS,3,1100-1215PM,TR,"ZEIL,S"
16786,CS,312,INTERNET CONCEPTS,3,1100-1215PM,TR,"ZEIL,S"
13809,CS,330,OBJECT ORIENT PROGRAM/DESIGN,3,HOURS ARR,,"ZEIL,S"
13810,CS,330,OBJECT ORIENT PROGRAM/DESIGN,3,HOURS ARR,,"ZEIL,S"
13811,CS,330,OBJECT ORIENT PROGRAM/DESIGN,3,HOURS ARR,,"ZEIL,S"
16388,CS,330,OBJECT ORIENT PROGRAM/DESIGN,3,1100-1215PM,TR,"ZEIL,S"
16791,CS,330,OBJECT ORIENT PROGRAM/DESIGN,3,HOURS ARR,,"ZEIL,S"
20654,CS,330,OBJECT ORIENT PROGRAM/DESIGN,3,HOURS ARR,,"ZEIL,S"
20655,CS,330,OBJECT ORIENT PROGRAM/DESIGN,3,HOURS ARR,,"ZEIL,S"
20656,CS,330,OBJECT ORIENT PROGRAM/DESIGN,3,HOURS ARR,,"ZEIL,S"
15408,CS,334,COMPUTER ARCHITECTURE FNDMNTLS,4, 100- 215PM,F,"ZEIL,S"
15409,CS,334,COMPUTER ARCHITECTURE FNDMNTLS,4, 100- 215PM,F,"ZEIL,S"
15410,CS,334,COMPUTER ARCHITECTURE FNDMNTLS,4, 100- 215PM,F,"ZEIL,S"
16794,CS,334,COMPUTER ARCHITECTURE FNDMNTLS,4, 100- 215PM,F,"ZEIL,S"
14084,CS,350,INTRO TO SOFTWARE ENGINEERING,3, 200- 250PM,MWF,"ZEIL,S"
15803,CS,350,INTRO TO SOFTWARE ENGINEERING,3,HOURS ARR,,"ZEIL,S"
